"LAT","LON","Country"
-50.943392,-72.935664,"Chile"
34.201047,-118.599931,"USA"
48.839963,-3.504874,"Unknown"
38.942855,-119.975852,"USA"
19.412728,-99.168949,"Mexico"
25.232118,55.26432,"Unknown"
18.491493,-69.958856,"Dominican Republic"
25.615366,-100.349621,"Mexico"
51.448283,-1.008425,"UK:Great Britain"
45.431708,12.330093,"Unknown"
-34.906592,-56.199789,"Unknown"
10.320914,-84.4277,"Costa Rica"
48.184939,16.30772,"Austria"
42.366027,-71.06208,"USA"
45.433282,12.339448,"Unknown"
51.109581,17.029559,"Poland"
35.110219,25.718994,"Greece:Crete"
-34.333301,-57.233299,"Uruguay"
30.157062,-85.776808,"Unknown"
45.59868,9.158284,"Italy"
51.437447,-2.602633,"UK:Great Britain"
25.025884,121.525783,"Taiwan"
52.069904,1.13142,"UK:Great Britain"
45.4995,-122.671501,"USA"
40.573674,-8.171939,"Portugal"
51.513015,-0.140075,"UK:Great Britain"
51.503026,0.005578,"UK:Great Britain"
51.808333,-2.559667,"UK:Great Britain"
19.340291,-99.190283,"Mexico"
44.035159,5.628433,"France"
53.257762,-3.441542,"UK:Great Britain"
-34.582712,-58.51787,"Argentina"
48.86065,2.337705,"France"
45.05697,12.37833,"Italy"
42.3526,-79.325012,"USA"
43.639243,-116.634303,"USA"
31.200808,29.901771,"Egypt"
45.439447,10.993688,"Italy"
48.375979,-68.77098,"Unknown"
46.05293,14.503669,"Slovenia"
56.362054,-2.818593,"UK:Great Britain"
51.012684,-114.130112,"Canada"
18.568154,-68.358306,"Dominican Republic"
25.196767,55.275177,"United Arab Emirates"
43.703087,-116.399492,"USA"
51.407333,7.188666,"Germany"
18.799497,98.833977,"Thailand"
47.913508,2.097573,"France"
55.229023,-6.290874,"Unknown"
51.825805,12.225122,"Germany"
32.730885,-97.389697,"USA"
61.741442,9.805641,"Norway"
-34.472953,-57.844905,"Unknown"
35.490096,-120.694513,"USA"
37.505504,15.095386,"Italy:Sicily"
37.941625,12.835292,"Italy:Sicily"
63.417833,10.4055,"Norway"
41.40739,-92.916458,"USA"
-1.31584,36.798191,"Kenya"
26.717783,-82.26011,"Unknown"
41.261549,0.937957,"Spain"
42.350028,-71.074886,"USA"
41.445121,-8.294239,"Portugal"
37.748336,-122.499312,"USA"
52.544667,13.402333,"Germany"
40.5595,-4.685,"Spain"
51.50632,-0.12714,"UK:Great Britain"
37.930658,23.751583,"Greece"
44.149149,12.132714,"Italy"
35.618166,140.219,"Japan:Honshu"
9.905781,-83.685951,"Costa Rica"
38.555366,-122.696388,"USA"
50.638595,2.388689,"France"
-23.547336,-46.747888,"Brazil"
38.888143,-77.016928,"USA"
41.503242,-5.746278,"Spain"
-37.794796,144.958848,"Australia"
35.689648,139.755706,"Japan:Honshu"
51.507246,-0.127716,"UK:Great Britain"
41.707955,-87.713577,"USA"
43.609062,3.876564,"France"
50.112041,8.68342,"Germany"
36.596786,-118.060455,"USA"
64.151608,-21.932144,"Iceland"
-33.027735,-71.643562,"Unknown"
57.683,-2.133334,"UK:Great Britain"
45.45088,9.214523,"Italy"
43.439957,142.44049,"Japan:Hokkaido"
49.906112,1.092699,"France"
25.778368,-80.189208,"Unknown"
43.309191,5.394287,"France"
13.36007,74.794921,"India"
18.568154,-68.358306,"Dominican Republic"
29.784026,-95.592856,"USA"
39.872364,15.907044,"Italy"
37.601737,-77.585889,"USA"
36.524647,-82.519093,"USA"
40.183955,29.061745,"Turkey"
48.121069,16.420955,"Austria"
1.365579,103.827713,"Singapore"
38.89732,-77.037613,"USA"
21.067791,-86.779031,"Unknown"
42.674137,-72.989301,"USA"
50.438265,30.536499,"Ukraine"
44.28002,-72.438569,"USA"
41.127485,16.871781,"Italy"
37.416902,-122.006478,"USA"
40.20405,-8.420999,"Portugal"
40.706936,-74.004634,"Unknown"
53.700161,-6.45996,"Ireland"
